Overall Analysis,,,,,,,,
Guest ID,Ranking_Frequency,Amount Paid (in Rs.),Rank_Frequency,Rank_Spending,Rank_Recency,Average of Rank,Overall Rank,Customer Tiers
HTA-THL-0020,4,55000,7,10,37,18,19,Others
HTA-THL-0015,2,35000,20,20,15,18,21,Others
HTA-THL-005,7,95000,2,3,16,7,4,VIP Guest
HTA-THL-0027,3,40000,12,18,27,19,22,Others
HTA-THL-0016,2,35000,20,20,40,27,30,Others
HTA-THL-0021,3,45000,12,15,22,16,17,Others
HTA-THL-0023,4,57500,7,9,5,7,4,VIP Guest
HTA-THL-0013,3,47500,12,13,14,13,13,Others
HTA-THL-0022,6,92500,3,4,7,5,3,VIP Guest
HTA-THL-0025,4,70000,7,7,29,14,14,Others
HTA-THL-006,6,90000,3,6,12,7,4,VIP Guest
HTA-THL-004,6,92500,3,4,21,9,9,Others
HTA-THL-002,8,127500,1,1,10,4,2,VIP Guest
HTA-THL-007,2,22500,20,25,23,23,24,Others
HTA-THL-001,6,100000,3,2,5,3,1,VIP Guest
HTA-THL-0034,1,7500,30,36,41,36,41,Others
HTA-THL-0030,2,22500,20,25,28,24,27,Others
HTA-THL-0012,2,35000,20,20,30,23,25,Others
HTA-THL-0031,1,17500,30,27,39,32,34,Others
HTA-THL-0040,2,15000,20,28,34,27,31,Others
HTA-THL-0010,2,32500,20,23,17,20,23,Others
HTA-THL-0032,1,15000,30,28,38,32,34,Others
HTA-THL-0018,3,55000,12,10,1,8,7,Others
HTA-THL-0037,1,7500,30,36,36,34,40,Others
HTA-THL-0045,1,7500,30,36,34,33,39,Others
HTA-THL-0060,1,7500,30,36,31,32,37,Others
HTA-THL-0061,1,10000,30,35,31,32,34,Others
HTA-THL-0062,1,7500,30,36,31,32,37,Others
HTA-THL-0026,4,47500,7,13,24,15,15,Others
HTA-THL-003,4,62500,7,8,8,8,7,Others
HTA-THL-0014,3,37500,12,19,17,16,16,Others
HTA-THL-008,2,15000,20,28,25,24,27,Others
HTA-THL-0033,1,15000,30,28,26,28,32,Others
HTA-THL-0024,3,45000,12,15,1,9,9,Others
HTA-THL-0011,2,27500,20,24,10,18,19,Others
HTA-THL-009,2,15000,20,28,3,17,18,Others
HTA-THL-0017,3,42500,12,17,3,11,11,Others
HTA-THL-0028,1,15000,30,28,20,26,29,Others
HTA-THL-0029,1,7500,30,36,19,28,33,Others
HTA-THL-0019,3,52500,12,12,8,11,11,Others
HTA-THL-00227,1,15000,30,28,12,23,25,Others
